Time,OriginalAcc,LowNoiseDis10,LowNoiseDis20,HighNoiseDis10,HighNoiseDis20
2.96E+00,-1.02E-01,449,359,801,915
2.97E+00,-4.00E-01,300,240,737,842
2.97E+00,-1.26E+00,-131,-105,911,1042
2.98E+00,-9.73E-01,14,11,816,932
2.98E+00,-1.20E+00,-100,-80,603,689
2.99E+00,-2.81E+00,-906,-725,364,416
2.99E+00,-1.72E+00,-361,-289,351,401
3.00E+00,7.56E-01,878,702,277,316
3.00E+00,-5.35E-01,233,186,341,389
3.00E+00,6.77E-01,838,671,758,867
3.01E+00,-6.69E-01,166,133,882,1008
3.02E+00,-9.58E-01,21,17,935,1069
3.02E+00,1.08E+00,1042,834,531,606
3.02E+00,-5.07E-01,246,197,286,326
3.03E+00,1.20E+00,1099,879,546,624
3.03E+00,1.11E+00,1053,842,1010,1154
3.04E+00,9.02E-01,951,761,850,972
3.04E+00,9.87E-01,993,795,588,672
3.05E+00,1.21E+00,1106,885,365,417
3.05E+00,1.25E+00,1124,899,629,719
3.06E+00,8.28E-01,914,731,484,553
3.06E+00,3.14E-01,657,526,838,958
3.07E+00,-2.59E-01,371,297,684,782
3.07E+00,-3.53E-01,324,259,329,376
3.08E+00,-5.78E-01,211,169,305,349
3.08E+00,-3.74E-01,313,250,503,575
3.09E+00,-2.25E-01,387,310,981,1121
3.09E+00,-4.87E-01,256,205,1075,1228
3.10E+00,-9.23E-01,39,31,663,758
3.10E+00,-9.23E-01,39,31,485,554
3.11E+00,-7.80E-01,110,88,289,330
3.11E+00,-3.90E-01,305,244,787,900
3.12E+00,-3.11E-01,344,276,1086,1241
3.12E+00,-4.12E-01,294,235,941,1075
3.13E+00,-3.11E-01,344,276,481,549
3.13E+00,-6.87E-03,497,397,1184,1353
3.14E+00,-4.65E-02,477,381,1420,1623
3.14E+00,-2.72E-01,364,291,1263,1443
3.15E+00,-5.92E-01,204,163,231,265
3.15E+00,-5.34E-01,233,186,59,67
3.16E+00,-5.16E-01,242,194,413,472
3.16E+00,-5.86E-01,207,166,630,720
3.17E+00,-5.28E-01,236,189,754,861
3.17E+00,-4.06E-01,297,237,824,942
3.18E+00,-4.03E-01,298,239,1218,1392
3.18E+00,-5.07E-01,247,197,590,674
3.19E+00,-5.34E-01,233,186,81,92
3.19E+00,-3.49E-01,326,261,-245,-280
3.20E+00,-3.03E-01,348,279,980,1120
3.20E+00,-2.51E-01,374,299,1244,1422
3.21E+00,3.46E-02,517,414,807,923
3.21E+00,1.53E-01,577,461,741,847
3.22E+00,1.01E-02,505,404,957,1093
3.22E+00,-6.63E-01,169,135,641,733
3.23E+00,-8.55E-01,73,58,644,736
3.23E+00,-6.23E-01,188,151,712,814
3.24E+00,-2.46E-01,377,302,79,90
3.24E+00,-5.35E-01,232,186,-136,-156
3.25E+00,-5.47E-01,226,181,620,709
3.25E+00,-1.58E-01,421,337,684,782
3.26E+00,-6.36E-02,468,375,1283,1467
3.26E+00,-4.05E-01,298,238,1746,1995
3.27E+00,-4.29E-01,285,228,1145,1308
3.27E+00,-2.92E-01,354,283,-48,-55
3.28E+00,1.64E-01,582,466,491,561
3.28E+00,3.34E-02,517,413,1550,1771
3.29E+00,-4.28E-02,479,383,1002,1145
3.29E+00,-1.24E-02,494,395,1077,1231
3.30E+00,1.15E-01,558,446,936,1070
3.30E+00,-0.08049113,460,368,131,150
3.31E+00,0.013796021,507,406,88,101
3.31E+00,0.105044101,553,442,615,703
3.32E+00,-0.044199396,478,382,82,94
3.32E+00,-0.537424871,231,185,-909,-1039
3.33E+00,-0.479667316,260,208,-670,-766
3.33E+00,-0.39146337,304,243,679,776
3.34E+00,-0.050601438,475,380,1412,1614
3.34E+00,-0.190707474,405,324,643,735
3.35E+00,-0.111635927,444,355,679,776
3.35E+00,0.104416549,552,442,609,696
3.36E+00,1.20936095,1105,884,1012,1156
3.36E+00,0.095127261,548,438,1237,1414
3.37E+00,0.767804763,884,707,767,876
3.37E+00,0.44504568,723,578,1547,1767
3.38E+00,-0.130371389,435,348,773,884
3.38E+00,-0.029995972,485,388,622,711
3.39E+00,-0.081822148,459,367,567,647
3.39E+00,1.017033987,1009,807,665,760
3.40E+00,-0.030228773,485,388,426,487
3.40E+00,-1.957251059,-479,-383,364,416
3.41E+00,-2.29826988,-649,-519,324,370
3.41E+00,-0.882823903,59,47,669,765
3.42E+00,-0.121866542,439,351,774,884
3.42E+00,-0.873848392,63,50,710,811
3.43E+00,-0.813041643,93,75,644,736
3.43E+00,0.337564754,669,535,781,892
3.44E+00,0.538396564,769,615,691,790
3.44E+00,0.431775992,716,573,670,766
3.45E+00,1.214042285,1107,886,723,827
3.45E+00,-0.298972839,351,280,815,932
3.46E+00,-1.069219487,-35,-28,495,566
3.46E+00,0.635419134,818,654,400,457
3.47E+00,1.493788754,1247,998,417,476
3.47E+00,0.833130897,917,733,655,749
3.48E+00,-0.022351478,489,391,589,674
3.48E+00,-0.113751384,443,354,317,362
3.49E+00,-1.194499608,-97,-78,325,372
3.49E+00,-0.887118079,56,45,528,603
3.50E+00,0.016908477,508,407,264,301
3.50E+00,-0.080579696,460,368,102,116
3.51E+00,-0.083699743,458,367,236,270
3.51E+00,0.366750981,683,547,707,808
3.52E+00,0.059217625,530,424,807,923
3.52E+00,0.153504776,577,461,724,828
3.53E+00,0.777476148,889,711,524,599
3.53E+00,0.399922669,700,560,488,557
3.54E+00,-1.350529775,-175,-140,456,521
3.54E+00,-0.884858386,58,46,326,373
3.55E+00,-0.157386489,421,337,345,394
3.55E+00,0.7405518,870,696,418,477
3.56E+00,0.177311264,589,471,416,475
3.56E+00,0.076773897,538,431,330,378
3.57E+00,-0.099861736,450,360,290,331
3.57E+00,-0.410444287,295,236,339,387
3.58E+00,-0.915846294,42,34,326,373
3.58E+00,-0.669352488,165,132,286,327
3.59E+00,0.803932018,902,722,510,583
3.59E+00,1.029121954,1015,812,667,763
3.60E+00,0.691142205,846,676,695,795
3.60E+00,-0.31349763,343,275,482,551
3.61E+00,0.343954144,672,538,412,471
3.61E+00,0.550879281,775,620,482,551
3.62E+00,0.124619673,562,450,427,488
3.62E+00,-0.587783385,206,165,154,176
3.63E+00,-0.307804115,346,277,54,62
3.63E+00,-0.052172848,474,379,54,62
3.64E+00,0.535263865,768,614,359,410
3.64E+00,0.401246096,701,560,542,620
3.65E+00,-0.280720693,360,288,438,500
3.65E+00,-0.563900984,218,174,295,337
3.66E+00,-0.530496495,235,188,453,518
3.66E+00,-0.022202181,489,391,519,593
3.67E+00,0.196899488,598,479,920,1051
3.67E+00,-0.308431667,346,277,1280,1463
3.68E+00,-0.10150653,449,359,1574,1799
3.68E+00,-0.479054947,260,208,1548,1770
3.69E+00,-0.159501946,420,336,1391,1590
3.69E+00,0.214850511,607,486,1331,1521
3.70E+00,0.443079519,722,577,1474,1685
3.70E+00,-0.22061741,390,312,1538,1758
3.71E+00,-0.592082622,204,163,345,394
3.71E+00,-0.24208323,379,303,1459,1668
3.72E+00,0.336221085,668,534,29,34
3.72E+00,0.260041844,630,504,232,265
3.73E+00,0.083401149,542,433,1174,1342
3.73E+00,-0.513324851,243,195,326,372
3.74E+00,-0.604729819,198,158,1229,1405
3.74E+00,-0.498261074,251,201,-505,-577
3.75E+00,-0.48007725,260,208,-1268,-1449
3.75E+00,-0.139210256,430,344,-141,-161
3.76E+00,0.16512714,583,466,19,22
3.76E+00,0.302032155,651,521,-183,-209
3.77E+00,0.052337327,526,421,420,480
3.77E+00,0.143580346,572,457,629,719
3.78E+00,0.149592699,575,460,853,974
3.78E+00,0.000349202,500,400,1317,1505
3.79E+00,-0.492876273,254,203,1515,1732
3.79E+00,-0.237250067,381,305,1965,2246
3.80E+00,0.000116401,500,400,1903,2175
3.80E+00,0.24965434,625,500,1562,1786
3.81E+00,0.003003646,502,401,727,831
3.81E+00,-0.204073318,398,318,951,1087
3.82E+00,-0.164580562,418,334,1337,1528
3.82E+00,0.033212175,517,413,604,690
3.83E+00,-0.170825717,415,332,1401,1601
3.83E+00,-0.310931753,345,276,808,924
3.84E+00,-0.472351781,264,211,-634,-725
3.84E+00,0.124222392,562,450,-2026,-2315
3.85E+00,0.051082223,526,420,1936,2212
3.85E+00,-0.171215406,414,332,1486,1699
3.86E+00,-0.070839988,465,372,2484,2838
3.86E+00,-0.235299089,382,306,1393,1592
3.87E+00,-0.341924722,329,263,404,462
3.87E+00,-0.308515172,346,277,99,114
3.88E+00,-0.013315236,493,395,673,769
3.88E+00,0.178389236,589,471,1284,1468
3.89E+00,0.123518927,562,449,747,854
3.89E+00,0.178232348,589,471,255,292
3.90E+00,0.053346978,527,421,-216,-247
3.90E+00,0.056310136,528,423,151,172
3.91E+00,0.025792892,513,410,402,460
3.91E+00,0.016579518,508,407,-972,-1111
3.92E+00,0.372667177,686,549,1221,1395
3.92E+00,0.579587253,790,632,1204,1376
3.93E+00,0.384686821,692,554,1116,1276
3.93E+00,-0.230309039,385,308,931,1064
3.94E+00,-1.630691238,-315,-252,829,947
3.94E+00,-0.915395874,42,34,714,816
3.95E+00,-0.397969161,301,241,439,502
3.95E+00,-0.452844531,274,219,420,480
3.96E+00,-1.07696773,-38,-31,578,660
3.96E+00,-0.252088635,374,299,705,806
3.97E+00,1.318613191,1159,927,667,762
3.97E+00,1.28200262,1141,913,569,651
3.98E+00,0.438696777,719,575,601,687
3.98E+00,-0.50810453,246,197,644,736
3.99E+00,-0.456435242,272,217,712,814
3.99E+00,0.182756795,591,473,759,868
4.00E+00,0.225293684,613,490,808,924
4.00E+00,-1.010700267,-5,-4,780,892
4.01E+00,-0.170600506,415,332,570,651
4.01E+00,-0.097617226,451,361,348,398
4.02E+00,-0.055080337,472,378,421,481
4.02E+00,1.183810981,1092,874,485,554
4.03E+00,2.468354174,1734,1387,397,454
4.03E+00,1.025359172,1013,810,150,172
4.04E+00,-2.125404619,-563,-450,218,250
4.04E+00,-1.559276837,-280,-224,436,498
4.05E+00,0.382809226,691,553,547,625
4.05E+00,2.57146501,1786,1429,483,552
4.06E+00,1.235014666,1118,894,734,839
4.06E+00,1.919863639,1460,1168,843,963
4.07E+00,-0.795508145,102,82,830,949
4.07E+00,-0.39375849,303,242,592,676
4.08E+00,0.531576998,766,613,598,683
4.08E+00,0.592383746,796,637,734,839
4.09E+00,0.230050933,615,492,813,930
4.09E+00,-0.491484525,254,203,741,847
4.10E+00,-0.911655867,44,35,509,581
4.10E+00,-0.640803935,180,144,134,153
4.11E+00,-0.269500671,365,292,-115,-132
4.11E+00,0.427529895,714,571,-58,-66
4.12E+00,-0.674527261,163,130,34,39
4.12E+00,-0.790280232,105,84,243,277
4.13E+00,0.582547881,791,633,650,743
4.13E+00,2.204994909,1602,1282,731,835
4.14E+00,0.850274706,925,740,827,945
4.14E+00,-0.206120454,397,318,752,860
4.15E+00,-0.461903547,269,215,624,714
4.15E+00,0.673477124,837,669,614,701
4.16E+00,1.300497689,1150,920,492,563
4.16E+00,0.56981971,785,628,262,300
4.17E+00,-1.034514346,-17,-14,169,193
4.17E+00,-1.451646615,-226,-181,56,64
4.18E+00,-0.410623949,295,236,-23,-26
4.18E+00,0.809992449,905,724,35,39
4.19E+00,0.05801566,529,423,130,149
4.19E+00,-0.800510848,100,80,359,410
4.20E+00,-0.925396218,37,30,535,612
4.20E+00,-0.456680695,272,217,1004,1148
4.21E+00,0.094231482,547,438,1254,1433
4.21E+00,0.069802503,535,428,1529,1747
4.22E+00,-0.185985651,407,326,1235,1411
4.22E+00,-0.37784195,311,249,987,1129
4.23E+00,0.060432242,530,424,1028,1175
4.23E+00,0.154724454,577,462,1124,1285
4.24E+00,0.032878156,516,413,873,997
4.24E+00,-0.308140665,346,277,794,907
4.25E+00,-0.506090291,247,198,909,1039
4.25E+00,-0.38440088,308,246,1222,1397
4.26E+00,0.063005711,532,425,1133,1295
4.26E+00,0.041620865,521,417,453,518
4.27E+00,-0.217211422,391,313,-915,-1046
4.27E+00,-0.780451959,110,88,-1667,-1905
4.28E+00,-0.448722426,276,221,-651,-744
4.28E+00,-0.177870494,411,329,-559,-639
4.29E+00,-0.117063745,441,353,276,316
4.29E+00,-0.439822828,280,224,1050,1200
4.30E+00,-0.217677025,391,313,1561,1785
4.30E+00,0.092743576,546,437,1359,1553
4.31E+00,0.247918451,624,499,1502,1716
4.31E+00,-0.233135553,383,307,1709,1953
4.32E+00,-0.479786248,260,208,1988,2272
4.32E+00,-0.345925366,327,262,3337,3813
4.33E+00,-0.087249966,456,365,3207,3665
4.33E+00,-0.181699067,409,327,1653,1890
4.34E+00,-0.117848185,441,353,-190,-217
4.34E+00,0.113424956,557,445,-754,-862
4.35E+00,0.344703158,672,538,379,433
4.35E+00,0.268523917,634,507,708,809
4.36E+00,-0.011617303,494,395,-441,-504
4.36E+00,-0.163899871,418,334,228,261
4.37E+00,-0.358805364,321,256,-984,-1125
4.37E+00,-0.431940472,284,227,-596,-682
4.38E+00,-0.155005334,422,338,791,904
4.38E+00,0.152376195,576,461,-1555,-1777
4.39E+00,-0.115588492,442,354,-3358,-3838
4.39E+00,-0.368327453,316,253,1927,2202
4.40E+00,-0.709351334,145,116,1801,2058
4.40E+00,-0.334998876,333,266,1820,2080
4.41E+00,-0.076328538,462,369,1064,1216
4.41E+00,-0.115978181,442,354,205,235
4.42E+00,-0.429604865,285,228,263,300
4.42E+00,-0.247032793,376,301,1450,1657
4.43E+00,0.045128071,523,418,1597,1825
4.43E+00,0.364681072,682,546,2509,2867
4.44E+00,0.340252094,670,536,2396,2738
4.44E+00,0.245802993,623,498,717,819
4.45E+00,0.263991878,632,506,-1307,-1494
4.45E+00,0.842296192,921,737,-1456,-1665
4.46E+00,-0.405874291,297,238,140,160
4.46E+00,-0.247660345,376,301,-480,-549
4.47E+00,4.114516593,2557,2046,240,274
4.47E+00,-0.689135557,155,124,-63,-72
4.48E+00,-1.243248756,-122,-97,1250,1429
4.48E+00,-0.33008474,335,268,1173,1341
4.49E+00,-1.039448726,-20,-16,965,1102
4.49E+00,-1.082142503,-41,-33,777,888
4.50E+00,-1.596687032,-298,-239,677,774
4.50E+00,0.077515319,539,431,475,542
4.51E+00,3.121577564,2061,1649,328,374
4.51E+00,3.846005328,2423,1938,317,362
4.52E+00,0.317844946,659,527,596,681
4.52E+00,-0.747682613,126,101,739,845
4.53E+00,-1.073480768,-37,-29,620,708
4.53E+00,1.084738746,1042,834,483,553
4.54E+00,1.708705057,1354,1083,675,772
4.54E+00,1.267229844,1134,907,735,840
4.55E+00,-0.270143406,365,292,731,835
4.55E+00,-2.684221927,-842,-674,601,687
4.56E+00,-0.401198017,299,240,618,706
4.56E+00,-0.48955379,255,204,714,816
4.57E+00,-0.08172093,459,367,676,772
4.57E+00,-0.699755862,150,120,392,448
4.58E+00,-0.964676416,18,14,286,327
4.58E+00,-0.048468267,476,381,311,356
4.59E+00,0.380678586,690,552,356,407
4.59E+00,0.974208627,987,790,194,222
4.60E+00,0.225346824,613,490,235,268
4.60E+00,0.340947968,670,536,350,400
4.61E+00,1.12321426,1062,849,429,490
4.61E+00,0.81263171,906,725,303,347
4.62E+00,0.833859667,917,734,291,332
4.62E+00,0.252354332,626,501,536,612
4.63E+00,0.492759872,746,597,821,939
4.63E+00,0.096946656,548,439,768,878
4.64E+00,-0.499784406,250,200,777,888
4.64E+00,-1.032583611,-16,-13,838,958
4.65E+00,-0.536470891,232,185,898,1026
4.65E+00,-0.341722286,329,263,809,924
4.66E+00,-0.856261754,72,57,600,686
4.66E+00,-1.519963744,-260,-208,398,454
4.67E+00,-0.698123721,151,121,389,445
4.67E+00,0.026304043,513,411,259,296
4.68E+00,0.909026728,955,764,142,162
4.68E+00,0.220971673,610,488,336,384
4.69E+00,0.029115374,515,412,494,564
4.69E+00,0.927058725,964,771,472,540
4.70E+00,0.942203477,971,777,236,270
4.70E+00,0.013656846,507,405,298,340
4.71E+00,-0.214729049,393,314,545,623
4.71E+00,-0.096088833,452,362,837,957
4.72E+00,0.366543484,683,547,724,828
4.72E+00,-0.084069189,458,366,486,555
4.73E+00,-0.041527239,479,383,198,226
4.73E+00,-0.090314343,455,364,467,533
4.74E+00,-0.397847699,301,241,739,845
4.74E+00,-0.449678936,275,220,624,713
4.75E+00,-0.18491527,408,326,411,470
4.75E+00,-0.157593986,421,337,275,314
4.76E+00,-0.340322946,330,264,326,373
4.76E+00,-0.465208317,267,214,976,1116
4.77E+00,-0.112169852,444,355,1277,1459
4.77E+00,0.353506598,677,541,906,1035
4.78E+00,0.371690423,686,549,631,721
4.78E+00,-0.151976384,424,339,505,578
4.79E+00,-0.505176798,247,198,1388,1586
4.79E+00,-0.206927668,397,317,1756,2007
4.80E+00,-0.10655225,447,357,1388,1586
4.80E+00,-0.377556009,311,249,431,493
4.81E+00,-0.870786545,65,52,278,317
4.81E+00,-0.916524455,42,33,700,800
4.82E+00,-0.581750789,209,167,1522,1740
4.82E+00,-0.600091501,200,160,700,800
4.83E+00,-0.718893666,141,112,-466,-532
4.83E+00,-0.618513188,191,153,-1177,-1346
4.84E+00,0.09982631,550,440,-628,-717
4.84E+00,0.398070379,699,559,544,622
4.85E+00,0.288405674,644,515,670,766
4.85E+00,-0.092191938,454,363,743,849
4.86E+00,0.28216052,641,513,994,1136
4.86E+00,0.269903013,635,508,1448,1655
4.87E+00,0.04456125,522,418,1700,1942
4.87E+00,-0.415183822,292,234,1785,2040
4.88E+00,-0.250876548,375,300,1938,2215
4.88E+00,-0.290531253,355,284,607,693
4.89E+00,-0.354533962,323,258,475,542
4.89E+00,-0.296776407,352,281,166,189
4.90E+00,-0.272499256,364,291,-378,-432
4.90E+00,-0.169074644,415,332,875,1000
4.91E+00,-0.11131709,444,355,675,772
4.91E+00,-0.205761129,397,318,735,840
4.92E+00,0.019423745,510,408,624,713
4.92E+00,0.092407026,546,437,607,694
4.93E+00,0.192782444,596,477,217,248
4.93E+00,0.028323343,514,411,1317,1505
4.94E+00,-0.139184952,430,344,569,650
4.94E+00,-0.16361393,418,335,-337,-385
4.95E+00,-0.212401034,394,315,586,670
4.95E+00,-0.215521081,392,314,501,572
4.96E+00,-0.27952885,360,288,595,680
4.96E+00,-0.084780245,458,366,612,699
4.97E+00,-0.221847209,389,311,1017,1162
4.97E+00,-0.371085645,314,252,1605,1834
4.98E+00,-0.532505673,234,187,1694,1936
4.98E+00,-0.094226421,453,362,1087,1242
4.99E+00,0.021374723,511,409,-66,-75
4.99E+00,-1.52E-05,500,400,-321,-367
5.00E+00,-0.051841359,474,379,-112,-128
5.00E+00,0.389476966,695,556,177,203
5.01E+00,0.623799301,812,650,874,999
5.01E+00,0.553703265,777,621,-406,-464
5.02E+00,0.255302308,628,502,879,1004
5.02E+00,-1.580395985,-290,-232,1088,1243
5.03E+00,0.249057154,625,500,1137,1299
5.03E+00,-0.746455344,127,101,973,1112
5.04E+00,-1.160533358,-80,-64,664,759
5.04E+00,-1.458944437,-229,-184,700,800
5.05E+00,-1.093719318,-47,-37,715,817
5.05E+00,0.553080774,777,621,634,725
5.06E+00,1.420582793,1210,968,327,374
5.06E+00,1.292648229,1146,917,440,503
5.07E+00,0.452386519,726,581,545,623
5.07E+00,-0.126074683,437,350,641,732
5.08E+00,-0.150508722,425,340,504,576
5.08E+00,-0.284526492,358,286,549,628
5.09E+00,-0.162842142,419,335,551,630
5.09E+00,-1.481032748,-241,-192,585,669
5.10E+00,-0.187352095,406,325,603,689
5.10E+00,0.881062709,941,752,720,823
5.11E+00,-0.689790944,155,124,835,954
5.11E+00,-0.132790501,434,347,765,874
5.12E+00,-0.108518411,446,357,714,816
5.12E+00,0.049700597,525,420,556,635
5.13E+00,-0.035611043,482,386,622,711
5.13E+00,0.250456493,625,500,582,665
5.14E+00,-1.539498829,-270,-216,509,582
5.14E+00,-0.763320803,118,95,492,563
5.15E+00,-0.321997417,339,271,452,516
5.15E+00,-0.133337078,433,347,497,568
5.16E+00,1.769170194,1385,1108,524,599
5.16E+00,1.549916698,1275,1020,409,468
5.17E+00,1.428070399,1214,971,731,836
5.17E+00,1.06878678,1034,828,889,1016
5.18E+00,0.420300395,710,568,898,1026
5.18E+00,0.061016776,531,424,635,726
5.19E+00,-0.042564724,479,383,902,1031
5.19E+00,-0.22224449,389,311,979,1118
5.20E+00,-1.896603729,-448,-359,770,880
5.20E+00,-2.682065982,-841,-673,267,305
5.21E+00,-1.665401441,-333,-266,197,225
5.21E+00,-0.00033655,500,400,280,320
5.22E+00,1.174622912,1087,870,293,335
5.22E+00,-0.000493438,500,400,58,67
5.23E+00,-0.603307705,198,159,90,103
5.23E+00,-0.384211096,308,246,436,498
5.24E+00,0.982533812,991,793,625,715
5.24E+00,1.509087863,1255,1004,555,634
5.25E+00,0.982376924,991,793,346,396
5.25E+00,-0.277980214,361,289,594,678
5.26E+00,-0.098452275,451,361,960,1097
5.26E+00,0.29415992,647,518,947,1083
5.27E+00,0.823763166,912,730,621,710
5.27E+00,0.394459425,697,558,374,428
5.28E+00,-0.534077084,233,186,462,528
5.28E+00,-0.607217252,196,157,590,674
5.29E+00,-0.412468648,294,235,571,652
5.29E+00,-0.108131251,446,357,385,440
5.30E+00,0.056170961,528,422,422,482
5.30E+00,-0.333553989,333,267,637,728
5.31E+00,-0.717195733,141,113,671,767
5.31E+00,-0.306313679,347,277,641,733
5.32E+00,0.034548254,517,414,957,1093
5.32E+00,0.195811394,598,478,633,723
5.33E+00,-0.221315815,389,311,550,628
5.33E+00,-0.574511167,213,170,710,811
5.34E+00,-0.662872002,169,135,1360,1554
5.34E+00,-0.325049141,337,270,1349,1542
5.35E+00,-0.294688785,353,282,720,823
5.35E+00,-0.520030548,240,192,855,977
5.36E+00,-0.797127634,101,81,1336,1527
5.36E+00,-0.629776227,185,148,718,821
5.37E+00,-0.444165083,278,222,211,242
5.37E+00,-0.432064464,284,227,-364,-416
5.38E+00,-0.142947733,429,343,101,115
5.38E+00,0.155296336,578,462,461,527
5.39E+00,0.283074013,642,513,324,371
5.39E+00,0.197757311,599,479,-23,-26
5.40E+00,0.109401538,555,444,350,400
5.40E+00,0.097144031,549,439,768,878
5.41E+00,0.173171445,587,469,1045,1194
5.41E+00,-0.234823364,383,306,877,1002
5.42E+00,-0.584974584,208,166,1284,1467
5.42E+00,-0.56679076,217,173,1269,1450
5.43E+00,-0.387262821,306,245,1486,1699
5.43E+00,-0.49997672,250,200,939,1073
5.44E+00,-0.664435821,168,134,858,980
5.44E+00,-0.722355324,139,111,1382,1579
5.45E+00,-0.491077122,254,204,966,1105
5.45E+00,-0.555079831,222,178,666,761
5.46E+00,-0.591690402,204,163,25,28
5.46E+00,-0.439559661,280,224,210,240
5.47E+00,-0.034770933,483,386,643,735
5.47E+00,0.019947549,510,408,357,408
5.48E+00,-0.117119415,441,353,419,479
5.48E+00,-0.141548393,429,343,-1179,-1347
5.49E+00,0.044062751,522,418,511,584
5.49E+00,0.050075104,525,420,1587,1814
5.50E+00,-0.035241597,482,386,1896,2167
5.50E+00,-0.30928949,345,276,1459,1668
5.51E+00,-0.114540885,443,354,-51,-59
5.51E+00,0.055849594,528,422,177,202
5.52E+00,-0.148183237,426,341,922,1054
5.52E+00,-0.547045647,226,181,3392,3877
5.53E+00,-0.531900895,234,187,2885,3297
5.53E+00,-0.321936686,339,271,754,862
5.54E+00,-0.032819955,484,387,-418,-477
5.54E+00,0.110173326,555,444,-57,-66
5.55E+00,0.377981125,689,551,-28,-32
5.55E+00,0.676225194,838,670,469,536
5.56E+00,0.785738072,893,714,-170,-195
5.56E+00,-1.089528891,-45,-36,218,249
5.57E+00,-0.657337904,171,137,3580,4092
5.57E+00,-1.686340927,-343,-275,527,602
5.58E+00,-0.800569048,100,80,416,475
5.58E+00,-3.080710773,-1040,-832,1290,1474
5.59E+00,-2.86769737,-934,-747,885,1011
5.59E+00,0.02415822,512,410,872,997
5.60E+00,2.422859187,1711,1369,938,1072
5.60E+00,2.584122328,1792,1434,955,1092
5.61E+00,1.281233362,1141,912,732,836
5.61E+00,1.071107204,1036,828,527,602
5.62E+00,-0.624555906,188,150,399,456
5.62E+00,-0.706828474,147,117,619,707
5.63E+00,0.519881251,760,608,647,739
5.63E+00,1.600472587,1300,1040,466,532
5.64E+00,1.572999476,1286,1029,203,233
5.64E+00,1.752522354,1376,1101,442,505
5.65E+00,-5.796942911,-2398,-1919,619,708
5.65E+00,-3.221677163,-1111,-889,807,922
5.66E+00,0.129837464,565,452,591,676
5.66E+00,-1.851974157,-426,-341,398,454
5.67E+00,-2.406087355,-703,-562,449,513
5.67E+00,-0.674046475,163,130,585,669
5.68E+00,-1.629985242,-315,-252,692,791
5.68E+00,0.010726584,505,404,888,1015
5.69E+00,-0.458145827,271,217,941,1076
5.69E+00,-2.07771067,-539,-431,779,891
5.70E+00,-1.271086252,-136,-108,618,706
5.70E+00,1.362012964,1181,945,573,655
5.71E+00,3.58111514,2291,1832,639,730
5.71E+00,3.766726284,2383,1907,458,523
5.72E+00,1.839784972,1420,1136,364,416
5.72E+00,1.440927623,1220,976,537,613
5.73E+00,1.145565738,1073,858,874,998
5.73E+00,0.941532907,971,777,765,874
5.74E+00,1.230644577,1115,892,548,626
5.74E+00,0.499971659,750,600,392,448
5.75E+00,-0.60512963,197,158,618,706
5.75E+00,-1.798510779,-399,-319,575,658
5.76E+00,-1.929484415,-465,-372,386,441
5.76E+00,-3.381540964,-1191,-953,154,176
5.77E+00,-2.307037894,-654,-523,548,626
5.77E+00,-0.352780359,324,259,729,833
5.78E+00,0.618222186,809,647,744,850
5.78E+00,0.745999862,873,698,431,492
5.79E+00,0.298431323,649,519,346,395
5.79E+00,0.133972222,567,454,484,553
5.80E+00,0.246524172,623,499,723,826
5.80E+00,0.605655964,803,642,808,924
5.81E+00,0.468589,734,587,742,848
5.81E+00,0.410674558,705,564,436,498
5.82E+00,0.763713023,882,705,570,651
5.82E+00,1.183732537,1092,873,749,856
5.83E+00,0.790953332,895,716,766,875
5.83E+00,0.434713846,717,574,380,435
5.84E+00,-0.23507641,382,306,52,60
5.84E+00,-0.48781537,256,205,140,160
5.85E+00,-0.813618586,93,75,741,846
5.85E+00,-0.950680489,25,20,1267,1448
5.86E+00,-1.032947996,-16,-13,413,472
5.86E+00,-0.920396046,40,32,-316,-361
5.87E+00,-0.759132905,120,96,-24,-28
5.87E+00,-0.625272024,187,150,1099,1256
5.88E+00,-0.296581563,352,281,1610,1840
5.88E+00,-0.12314695,438,351,1171,1339
5.89E+00,-0.108002198,446,357,377,430
5.89E+00,0.074564813,537,430,556,635
5.90E+00,0.181033558,591,472,1295,1480
5.90E+00,0.043966594,522,418,2243,2564
5.91E+00,-0.071786377,464,371,1108,1266
5.91E+00,-0.653296773,173,139,147,168
5.92E+00,-0.95169773,24,19,228,260
5.92E+00,-1.082676428,-41,-33,999,1142
5.93E+00,-1.164943935,-82,-66,511,584
5.93E+00,-0.808856276,96,76,251,287
5.94E+00,-0.273169826,363,291,62,71
5.94E+00,0.058564768,529,423,356,407
5.95E+00,0.161984319,581,465,861,984
5.95E+00,0.049275481,525,420,1115,1274
5.96E+00,-0.145630012,427,342,1072,1225
5.96E+00,-0.154838324,423,338,424,485
5.97E+00,0.186023608,593,474,143,164
5.97E+00,0.204212493,602,482,2044,2336
5.98E+00,0.048880731,524,420,1565,1788
5.98E+00,-0.310402888,345,276,2500,2857
5.99E+00,-0.219154809,390,312,968,1106
5.99E+00,-0.377530704,311,249,-391,-447
6.00E+00,-0.688113255,156,125,-788,-900
6.00E+00,-0.785601428,107,86,1418,1620
6.01E+00,-0.432557902,284,227,2428,2775
6.01E+00,-0.307829419,346,277,1529,1747
6.02E+00,-0.399229326,300,240,661,756
6.02E+00,-0.502810825,249,199,632,722
6.03E+00,-0.186296897,407,325,581,664
